province,latitude,longitude
Seoul,37.532600,127.024612
Deagu,35.866669,128.600006
Ulsan,35.549999,129.316666
Busan,35.166668,129.066666
Gwangju,35.1547,126.9156
Incheon,37.456257,126.705208
Daejeon,36.351002,127.385002
Sejong,36.487002,127.282234
Gyeonggi-do,37.499998,127.249999
Gangwon-do,37.499998,128.249999
Chungcheongbuk-do,36.82153,127.65685
Chungcheongnam-do,36.5,127.0
Jeollabuk-do,35.75,127.25
Jeollanam-do,34.75,127.0
Gyeongsangbuk-do,36.33333,128.75
Gyeongsangnam-do,35.25,128.25
Jeju-do,33.5097,126.5219